Date,Transaction Description,Category,Amount,Type,Payment Method
2021-03-04,Monthly housing rent - March 2021,Rent,1231.98,Expense,Bank Transfer
2021-03-05,Residential rent payment - March 2021,Rent,1248.65,Expense,Bank Transfer
2021-03-05,Restaurant meal payment - March 2021,Food & Drink,486.23,Expense,Debit Card
2021-03-07,Retail shopping purchase - March 2021,Shopping,667.26,Expense,Credit Card
2021-03-07,Netflix or Spotify payment - March 2021,Entertainment,596.52,Expense,E-Wallet
2021-03-08,Movie and streaming subscription - March 2021,Entertainment,625.78,Expense,E-Wallet
2021-03-09,Portfolio interest income - March 2021,Investment,1992.49,Income,Debit Card
2021-03-09,Monthly utilities bill - March 2021,Utilities,513.55,Expense,Bank Transfer
2021-03-10,Electricity and water bill - March 2021,Utilities,529.48,Expense,Bank Transfer
2021-03-12,Internet utility payment - March 2021,Utilities,545.41,Expense,Bank Transfer
2021-03-15,Netflix or Spotify payment - March 2021,Entertainment,787.10,Expense,E-Wallet
2021-03-15,Freelance project payment - March 2021,Freelance,2380.08,Income,Bank Transfer
2021-03-16,Family allowance transfer - March 2021,Allowance,1681.08,Income,Bank Transfer
2021-03-16,Investment return received - March 2021,Investment,2312.51,Income,E-Wallet
2021-03-17,Supermarket grocery purchase - March 2021,Groceries,954.23,Expense,Debit Card
2021-03-17,Portfolio interest income - March 2021,Investment,2397.70,Income,Bank Transfer
2021-03-18,Trip and accommodation expense - March 2021,Travel,690.84,Expense,Credit Card
2021-03-19,Restaurant meal payment - March 2021,Food & Drink,225.49,Expense,Debit Card
2021-03-20,Retail shopping purchase - March 2021,Shopping,345.41,Expense,Credit Card
2021-03-21,Salary income received - March 2021,Salary,3708.86,Income,Bank Transfer
2021-03-22,Investment dividend income - March 2021,Investment,1481.38,Income,Bank Transfer
2021-03-22,Family allowance transfer - March 2021,Allowance,1114.41,Income,E-Wallet
2021-03-22,Trip and accommodation expense - March 2021,Travel,980.33,Expense,Credit Card
2021-03-23,Apartment rent payment - March 2021,Rent,1190.54,Expense,Bank Transfer
2021-03-23,Portfolio interest income - March 2021,Investment,1651.75,Income,Bank Transfer
2021-03-24,Netflix or Spotify payment - March 2021,Entertainment,465.25,Expense,E-Wallet
2021-03-25,Clothing and household shopping - March 2021,Shopping,594.50,Expense,Credit Card
2021-03-26,Family allowance transfer - March 2021,Allowance,1331.53,Income,Bank Transfer
2021-03-27,Daily transportation expense - March 2021,Transportation,312.10,Expense,Cash
2021-03-28,Monthly salary deposit - March 2021,Salary,4015.17,Income,E-Wallet
2021-03-29,Monthly housing rent - March 2021,Rent,1315.77,Expense,Bank Transfer
2021-03-30,Daily transportation expense - March 2021,Transportation,359.88,Expense,Cash
2021-04-01,Supermarket grocery purchase - April 2021,Groceries,758.68,Expense,Debit Card
2021-04-02,Retail shopping purchase - April 2021,Shopping,814.34,Expense,Credit Card
2021-04-03,Trip and accommodation expense - April 2021,Travel,1559.31,Expense,Credit Card
2021-04-03,Movie and streaming subscription - April 2021,Entertainment,787.89,Expense,E-Wallet
2021-04-03,Monthly housing rent - April 2021,Rent,1424.32,Expense,Bank Transfer
2021-04-08,Residential rent payment - April 2021,Rent,1440.99,Expense,Bank Transfer
2021-04-08,Clothing and household shopping - April 2021,Shopping,0,Expense,Credit Card
2021-04-09,Cafe and coffee purchase - April 2021,Food & Drink,783.48,Expense,Debit Card
2021-04-11,Trip and accommodation expense - April 2021,Travel,1825.98,Expense,Credit Card
2021-04-11,Hotel and flight booking - April 2021,Travel,692.04,Expense,Credit Card
2021-04-12,Internet utility payment - April 2021,Utilities,250.99,Expense,Bank Transfer
2021-04-13,Personal shopping expense - April 2021,Shopping,346.20,Expense,Credit Card
2021-04-18,Restaurant meal payment - April 2021,Food & Drink,273.53,Expense,Debit Card
2021-04-19,Retail shopping purchase - April 2021,Shopping,404.71,Expense,Credit Card
2021-04-19,Daily transportation expense - April 2021,Transportation,184.69,Expense,Cash
2021-04-19,Apartment rent payment - April 2021,Rent,1165.77,Expense,Bank Transfer
2021-04-19,Portfolio interest income - April 2021,Investment,1610.31,Income,Bank Transfer
2021-04-21,Personal shopping expense - April 2021,Shopping,536.78,Expense,Credit Card
2021-04-23,Hotel and flight booking - April 2021,Travel,2314.86,Expense,Credit Card
2021-04-23,Hospital or pharmacy expense - April 2021,Healthcare,593.49,Expense,Debit Card
2021-04-24,Salary income received - April 2021,Salary,3946.10,Income,Bank Transfer
2021-04-27,Movie and streaming subscription - April 2021,Entertainment,553.81,Expense,E-Wallet
2021-04-27,Cafe and coffee purchase - April 2021,Food & Drink,522.74,Expense,Debit Card
2021-04-27,Monthly utilities bill - April 2021,Utilities,474.38,Expense,Bank Transfer
2021-04-30,Apartment rent payment - April 2021,Rent,1332.88,Expense,Bank Transfer
2021-05-02,Internet utility payment - May 2021,Utilities,506.24,Expense,Bank Transfer
2021-05-04,Netflix or Spotify payment - May 2021,Entertainment,715.14,Expense,E-Wallet
2021-05-04,Supermarket grocery purchase - May 2021,Groceries,808.23,Expense,Debit Card
2021-05-06,Cafe and coffee purchase - May 2021,Food & Drink,677.14,Expense,Debit Card
2021-05-07,Residential rent payment - May 2021,Rent,1416.22,Expense,Bank Transfer
2021-05-07,Supermarket grocery purchase - May 2021,Groceries,894.11,Expense,Debit Card
2021-05-07,Monthly housing rent - May 2021,Rent,1458.11,Expense,Bank Transfer
2021-05-10,Monthly utilities bill - May 2021,Utilities,625.90,Expense,Bank Transfer
2021-05-11,Supermarket grocery purchase - May 2021,Groceries,967.45,Expense,Debit Card
2021-05-11,Game and entertainment purchase - May 2021,Entertainment,173.44,Expense,E-Wallet
2021-05-12,Residential rent payment - May 2021,Rent,1074.32,Expense,Bank Transfer
2021-05-14,Supermarket grocery purchase - May 2021,Groceries,380.12,Expense,Debit Card
2021-05-14,Monthly housing rent - May 2021,Rent,1116.22,Expense,Bank Transfer
2021-05-15,Investment return received - May 2021,Investment,1461.81,Income,Debit Card
2021-05-17,Electricity and water bill - May 2021,Utilities,315.13,Expense,Bank Transfer
2021-05-19,Portfolio interest income - May 2021,Investment,1547.00,Income,Bank Transfer
2021-05-22,Residential rent payment - May 2021,Rent,1182.88,Expense,Bank Transfer
2021-05-23,Monthly salary deposit - May 2021,Salary,3849.25,Income,Debit Card
2021-05-24,Payroll wage received - May 2021,Salary,3877.03,Income,Bank Transfer
2021-05-24,Daily transportation expense - May 2021,Transportation,272.93,Expense,Cash
2021-05-24,Electricity and water bill - May 2021,Utilities,418.86,Expense,Bank Transfer
2021-05-25,Travel booking payment - May 2021,Travel,1249.40,Expense,Credit Card
2021-05-25,Daily transportation expense - May 2021,Transportation,320.71,Expense,Cash
2021-05-27,Monthly salary deposit - May 2021,Salary,4030.18,Income,Bank Transfer
2021-05-27,Travel booking payment - May 2021,Travel,1382.73,Expense,Credit Card
2021-05-29,Residential rent payment - May 2021,Rent,1341.44,Expense,Bank Transfer
2021-05-30,Monthly salary deposit - May 2021,Salary,4127.78,Income,Bank Transfer
2021-05-31,Cafe and coffee purchase - May 2021,Food & Drink,654.07,Expense,Debit Card
2021-05-31,Netflix or Spotify payment - May 2021,Entertainment,774.44,Expense,e-wallet
2021-06-02,Electricity and water bill - June 2021,Utilities,570.37,Expense,Bank Transfer
2021-06-02,Hospital or pharmacy expense - June 2021,Healthcare,969.63,Expense,Debit Card
2021-06-03,Investment return received - June 2021,Investment,2272.22,Income,Bank Transfer
2021-06-06,Monthly salary deposit - June 2021,Salary,4294.44,Income,E-Wallet
2021-06-06,Internet utility payment - June 2021,Utilities,642.25,Expense,Bank Transfer
2021-06-06,Personal shopping expense - June 2021,Shopping,274.23,Expense,Credit Card
2021-06-09,Restaurant meal payment - June 2021,Food & Drink,215.24,Expense,Debit Card
2021-06-11,Monthly housing rent - June 2021,Rent,1091.44,Expense,Bank Transfer
2021-06-11,Personal shopping expense - June 2021,Shopping,362.01,Expense,Credit Card
2021-06-14,Electricity and water bill - June 2021,Utilities,291.45,Expense,Bank Transfer
2021-06-15,Internet utility payment - June 2021,Utilities,307.38,Expense,Bank Transfer
2021-06-16,Grocery and household staples - June 2021,Groceries,491.11,Expense,Debit Card
2021-06-20,Apartment rent payment - June 2021,Rent,1183.33,Expense,Bank Transfer
2021-06-20,Hospital or pharmacy expense - June 2021,Healthcare,513.33,Expense,Debit Card
2021-06-22,Residential rent payment - June 2021,Rent,1216.67,Expense,Bank Transfer
2021-06-23,Supermarket grocery purchase - June 2021,Groceries,588.89,Expense,Debit Card
2021-06-24,Game and entertainment purchase - June 2021,Entertainment,511.11,Expense,E-Wallet
2021-06-26,Netflix or Spotify payment - June 2021,Entertainment,540.37,Expense,E-Wallet
2021-06-27,Investment dividend income - June 2021,Investment,1868.17,Income,Bank Transfer
2021-06-28,Monthly housing rent - June 2021,Rent,1308.56,Expense,Bank Transfer
2021-06-28,Lunch and dining expense - June 2021,Food & Drink,571.43,Expense,Debit Card
2021-06-28,Electricity and water bill - June 2021,Utilities,498.92,Expense,Bank Transfer
2021-06-28,Portfolio interest income - June 2021,Investment,2038.54,Income,Bank Transfer
2021-06-29,Lunch and dining expense - June 2021,Food & Drink,642.54,Expense,Debit Card
2021-07-04,Movie and streaming subscription - July 2021,Entertainment,760.21,Expense,E-Wallet
2021-07-04,Payroll wage received - July 2021,Salary,4211.86,Income,Bank Transfer
2021-07-04,Salary income received - July 2021,Salary,4239.64,Income,Bank Transfer
2021-07-06,Freelance project payment - July 2021,Freelance,2456.86,Income,E-Wallet
2021-07-07,Retail shopping purchase - July 2021,Shopping,992.27,Expense,Credit Card
2021-07-09,Monthly utilities bill - July 2021,Utilities,634.50,Expense,Bank Transfer
2021-07-09,Electricity and water bill - July 2021,Utilities,220.00,Expense,Bank Transfer
2021-07-10,Family allowance transfer - July 2021,Allowance,933.33,Income,E-Wallet
2021-07-10,Residential rent payment - July 2021,Rent,1091.89,Expense,Bank Transfer
2021-07-11,Apartment rent payment - July 2021,Rent,1108.56,Expense,Bank Transfer
2021-07-11,Travel booking payment - July 2021,Travel,1200.60,Expense,Credit Card
2021-07-11,Personal shopping expense - July 2021,Shopping,421.32,Expense,Credit Card
2021-07-12,Monthly salary deposit - July 2021,Salary,3780.93,Income,Debit Card
2021-07-13,Retail shopping purchase - July 2021,Shopping,479.84,Expense,Credit Card
2021-07-14,Netflix or Spotify payment - July 2021,Entertainment,409.10,Expense,E-Wallet
2021-07-15,Investment dividend income - July 2021,Investment,1677.08,Income,E-Wallet
2021-07-19,Monthly housing rent - July 2021,Rent,1233.78,Expense,Bank Transfer
2021-07-19,Monthly utilities bill - July 2021,Utilities,411.54,Expense,Bank Transfer
2021-07-23,Monthly salary deposit - July 2021,Salary,3961.86,Income,Bank Transfer
2021-07-23,Family allowance transfer - July 2021,Allowance,1367.57,Income,E-Wallet
2021-07-24,Residential rent payment - July 2021,Rent,1300.45,Expense,Bank Transfer
2021-07-28,Electricity and water bill - July 2021,Utilities,475.25,Expense,Bank Transfer
2021-07-29,Weekly groceries payment - July 2021,Groceries,748.77,Expense,Debit Card
2021-08-02,Trip and accommodation expense - August 2021,Travel,1474.02,Expense,Credit Card
2021-08-06,Monthly salary deposit - August 2021,Salary,4142.79,Income,Debit Card
2021-08-07,Payroll wage received - August 2021,Salary,4170.57,Income,Bank Transfer
2021-08-07,Investment return received - August 2021,Investment,2167.47,Income,Bank Transfer
2021-08-08,Restaurant meal payment - August 2021,Food & Drink,714.29,Expense,Debit Card
2021-08-09,Retail shopping purchase - August 2021,Shopping,not available,Expense,Credit Card
2021-08-11,Daily transportation expense - August 2021,Transportation,489.01,Expense,Cash
2021-08-13,Restaurant meal payment - August 2021,Food & Drink,797.58,Expense,Debit Card
2021-08-13,Retail shopping purchase - August 2021,Shopping,260.79,Expense,Credit Card
2021-08-15,Lunch and dining expense - August 2021,Food & Drink,204.34,Expense,Debit Card
2021-08-16,Investment dividend income - August 2021,Investment,1336.34,Income,Bank Transfer
2021-08-18,Hospital or pharmacy expense - August 2021,Healthcare,318.66,Expense,Debit Card
2021-08-20,Daily transportation expense - August 2021,Transportation,154.13,Expense,Cash
2021-08-21,Freelance project payment - August 2021,Freelance,1566.77,Income,Debit Card
2021-08-21,Internet utility payment - August 2021,Utilities,324.16,Expense,Bank Transfer
2021-08-22,Salary income received - August 2021,Salary,3809.46,Income,Bank Transfer
2021-08-23,Movie and streaming subscription - August 2021,Entertainment,409.89,Expense,E-Wallet
2021-08-24,Travel booking payment - August 2021,Travel,1074.02,Expense,Credit Card
2021-08-25,Salary income received - August 2021,Salary,3892.79,Income,Bank Transfer
2021-08-27,Movie and streaming subscription - August 2021,Entertainment,497.67,Expense,E-Wallet
2021-08-29,Cafe and coffee purchase - August 2021,Food & Drink,489.43,Expense,Debit Card
2021-09-05,Residential rent payment - September 2021,Rent,1284.23,Expense,Bank Transfer
2021-09-06,Bus and taxi fare - September 2021,Transportation,329.75,Expense,Cash
2021-09-09,Retail shopping purchase - September 2021,Shopping,729.73,Expense,Credit Card
2021-09-09,Refund income received - September 2021,Other Income,1694.79,Income,E-Wallet
2021-09-09,Hotel and flight booking - September 2021,Travel,1452.40,Expense,Credit Card
2021-09-10,Monthly housing rent - September 2021,Rent,1367.57,Expense,Bank Transfer
2021-09-11,Monthly utilities bill - September 2021,Utilities,547.56,Expense,Bank Transfer
2021-09-11,Apartment rent payment - September 2021,Rent,1409.46,Expense,Bank Transfer
2021-09-11,Payroll wage received - September 2021,Salary,4226.88,Income,Debit Card
2021-09-11,Salary income received - September 2021,Salary,4254.65,Income,Bank Transfer
2021-09-15,Freelance project payment - September 2021,Freelance,2482.88,Income,Bank Transfer
2021-09-16,Cafe and coffee purchase - September 2021,Food & Drink,786.05,Expense,Debit Card
2021-09-16,Daily transportation expense - September 2021,Transportation,513.11,Expense,Cash
2021-09-17,Electricity and water bill - September 2021,Utilities,236.79,Expense,Bank Transfer
2021-09-17,Family allowance transfer - September 2021,Allowance,968.47,Income,Bank Transfer
2021-09-19,Investment return received - September 2021,Investment,1380.08,Income,E-Wallet
2021-09-19,Restaurant meal payment - September 2021,Food & Drink,276.10,Expense,Debit Card
2021-09-19,Hospital or pharmacy expense - September 2021,Healthcare,384.72,Expense,Debit Card
2021-09-19,Monthly utilities bill - September 2021,Utilities,316.42,Expense,Bank Transfer
2021-09-20,Hotel and flight booking - September 2021,Travel,963.51,Expense,Credit Card
2021-09-21,Portfolio interest income - September 2021,Investment,1614.91,Income,Debit Card
2021-09-28,Residential rent payment - September 2021,Rent,1209.46,Expense,Bank Transfer
2021-10-01,Monthly salary deposit - October 2021,Salary,3893.54,Income,Bank Transfer
2021-10-07,Payroll wage received - October 2021,Salary,3921.32,Income,E-Wallet
2021-10-08,Investment return received - October 2021,Investment,1785.29,Income,Debit Card
2021-10-13,Freelance project payment - October 2021,Freelance,1953.25,Income,Bank Transfer
2021-10-13,Hospital or pharmacy expense - October 2021,Healthcare,694.79,Expense,Debit Card
2021-10-13,Trip and accommodation expense - October 2021,Travel,1364.71,Expense,Credit Card
2021-10-16,Electricity and water bill - October 2021,Utilities,492.03,Expense,Bank Transfer
2021-10-20,Monthly housing rent - October 2021,Rent,1351.35,Expense,Bank Transfer
2021-10-21,Netflix or Spotify payment - October 2021,Entertainment,718.30,Expense,E-Wallet
2021-10-22,Freelance project payment - October 2021,Freelance,2266.87,Income,E-Wallet
2021-10-24,Internet utility payment - October 2021,Utilities,555.74,Expense,Bank Transfer
2021-10-24,Refund income received - October 2021,Other Income,1899.60,Income,Bank Transfer
not-a-date,Monthly salary deposit - recorded period,Salary,4255.41,Income,Bank Transfer
2021-10-27,Monthly housing rent - October 2021,Rent,1459.91,Expense,Bank Transfer
2021-10-30,Residential rent payment - October 2021,Rent,1476.58,Expense,Bank Transfer
2021-11-03,Supermarket grocery purchase - November 2021,Groceries,970.09,Expense,Debit Card
2021-11-04,Internet utility payment - November 2021,Utilities,229.04,Expense,Bank Transfer
2021-11-05,Investment return received - November 2021,Investment,1316.77,Income,E-Wallet
2021-11-05,Hotel and flight booking - November 2021,Travel,764.11,Expense,Credit Card
2021-11-06,Game and entertainment purchase - November 2021,Entertainment,279.41,Expense,E-Wallet
2021-11-07,Trip and accommodation expense - November 2021,Travel,875.83,Expense,Credit Card
2021-11-10,Hotel and flight booking - November 2021,Travel,920.27,Expense,Credit Card
2021-11-15,Monthly housing rent - November 2021,Rent,1168.02,Expense,Bank Transfer
2021-11-16,Investment return received - November 2021,Investment,1594.19,Income,Bank Transfer
2021-11-17,Supermarket grocery purchase - November 2021,Groceries,541.98,Expense,Debit Card
2021-11-18,Cafe and coffee purchase - November 2021,Food & Drink,418.96,Expense,Debit Card
2021-11-18,Trip and accommodation expense - November 2021,Travel,1165.32,Expense,Credit Card
2021-11-19,Bus and taxi fare - November 2021,Transportation,290.58,Expense,Cash
2021-11-21,Family allowance transfer - November 2021,Allowance,1353.15,Income,Bank Transfer
2021-11-21,Personal shopping expense - November 2021,Shopping,687.03,Expense,Credit Card
2021-11-21,Investment dividend income - November 2021,Investment,1914.21,Income,Debit Card
2021-11-23,Payroll wage received - November 2021,Salary,4060.96,Income,Bank Transfer
2021-11-26,Monthly utilities bill - November 2021,Utilities,500.21,Expense,Bank Transfer
2021-11-27,Supermarket grocery purchase - November 2021,Groceries,787.09,Expense,Debit Card
2021-11-28,Family allowance transfer - November 2021,Allowance,1570.27,Income,Debit Card
2021-12-01,Daily transportation expense - December 2021,Transportation,426.17,Expense,Cash
2021-12-02,Freelance project payment - December 2021,Freelance,2364.46,Income,Bank Transfer
2021-12-03,Portfolio interest income - December 2021,Investment,2234.23,Income,E-Wallet
2021-12-03,Personal shopping expense - December 2021,Shopping,1215.39,Expense,Credit Card
2021-12-08,Electricity and water bill - December 2021,Utilities,619.87,Expense,Bank Transfer
2021-12-09,Hospital or pharmacy expense - December 2021,Healthcare,1087.67,Expense,Debit Card
2021-12-09,Refund income received - December 2021,Other Income,1024.22,Income,E-Wallet
2021-12-11,Monthly salary deposit - December 2021,Salary,3644.29,Income,Debit Card
2021-12-12,Payroll wage received - December 2021,Salary,3672.07,Income,Bank Transfer
2021-12-13,Daily transportation expense - December 2021,Transportation,147.25,Expense,Cash
2021-12-13,Monthly salary deposit - December 2021,Salary,3727.63,Income,E-Wallet
2021-12-15,Portfolio interest income - December 2021,Investment,1488.29,Income,Debit Card
2021-12-15,Refund income received - December 2021,Other Income,1289.59,Income,Bank Transfer
2021-12-16,Supermarket grocery purchase - December 2021,Groceries,518.20,Expense,Debit Card
2021-12-19,Portfolio interest income - December 2021,Investment,1637.94,Income,E-Wallet
2021-12-20,Residential rent payment - December 2021,Rent,1218.47,Expense,Bank Transfer
2021-12-20,Hotel and flight booking - December 2021,Travel,1493.69,Expense,Credit Card
2021-12-23,Monthly housing rent - December 2021,Rent,1251.80,Expense,Bank Transfer
2021-12-24,Refund income received - December 2021,Other Income,1534.03,Income,E-Wallet
2021-12-26,Supermarket grocery purchase - December 2021,Groceries,677.42,Expense,Debit Card
2021-12-28,Family allowance transfer - December 2021,Allowance,1420.72,Income,Bank Transfer
2021-12-31,Investment return received - December 2021,Investment,1957.96,Income,Bank Transfer
2022-01-01,Monthly salary deposit - January 2022,Salary,4089.49,Income,E-Wallet
2022-01-03,Portfolio interest income - January 2022,Investment,2043.14,Income,Debit Card
2022-01-03,Daily transportation expense - January 2022,Transportation,402.49,Expense,Cash
2022-01-03,Hotel and flight booking - January 2022,Travel,1566.52,Expense,Credit Card
2022-01-04,Payroll wage received - January 2022,Salary,4214.86,Income,E-Wallet
2022-01-05,Lunch and dining expense - January 2022,Food & Drink,728.39,Expense,Debit Card
2022-01-06,Bus and taxi fare - January 2022,Transportation,474.37,Expense,Cash
2022-01-08,Cafe and coffee purchase - January 2022,Food & Drink,775.80,Expense,Debit Card
2022-01-09,Netflix or Spotify payment - January 2022,Entertainment,924.69,Expense,E-Wallet
2022-01-13,Electricity and water bill - January 2022,Utilities,221.72,Expense,Bank Transfer
2022-01-13,Retail shopping purchase - January 2022,Shopping,292.42,Expense,Credit Card
2022-01-14,Lunch and dining expense - January 2022,Food & Drink,242.14,Expense,Debit Card
2022-01-16,Movie and streaming subscription - January 2022,Entertainment,265.97,Expense,E-Wallet
2022-01-16,Internet utility payment - January 2022,Utilities,293.60,Expense,Bank Transfer
2022-01-18,Salary income received - January 2022,Salary,3756.16,Income,Bank Transfer
2022-01-18,Restaurant meal payment - January 2022,Food & Drink,336.96,Expense,Debit Card
2022-01-21,Hospital or pharmacy expense - January 2022,Healthcare,468.41,Expense,Debit Card
2022-01-21,Personal shopping expense - January 2022,Shopping,512.26,Expense,Credit Card
2022-01-22,Freelance project payment - January 2022,Freelance,"$1,787.99",Income,Bank Transfer
2022-01-23,Travel booking payment - January 2022,Travel,1144.89,Expense,Credit Card
2022-01-24,Investment return received - January 2022,Investment,1766.87,Income,E-Wallet
2022-01-28,Movie and streaming subscription - January 2022,Entertainment,544.32,Expense,E-Wallet
2022-02-01,Travel booking payment - February 2022,Travel,1278.23,Expense,Credit Card
2022-02-02,Salary income received - February 2022,Salary,4020.42,Income,Bank Transfer
2022-02-05,Hotel and flight booking - February 2022,Travel,1367.12,Expense,Credit Card
2022-02-05,Weekly groceries payment - February 2022,Groceries,751.41,Expense,Debit Card
2022-02-06,Daily transportation expense - February 2022,Transportation,387.00,Expense,Cash
2022-02-08,Hotel and flight booking - February 2022,Travel,1523.27,Expense,Credit Card
2022-02-08,Monthly housing rent - February 2022,Rent,1394.14,Expense,Bank Transfer
2022-02-09,Trip and accommodation expense - February 2022,Travel,1612.16,Expense,Credit Card
2022-02-10,Hotel and flight booking - February 2022,Travel,1656.61,Expense,Credit Card
2022-02-10,Internet utility payment - February 2022,Utilities,596.63,Expense,Bank Transfer
2022-02-10,Netflix or Spotify payment - February 2022,Entertainment,896.23,Expense,E-Wallet
2022-02-10,Movie and streaming subscription - February 2022,Entertainment,925.49,Expense,E-Wallet
2022-02-11,Family allowance transfer - February 2022,Allowance,904.50,Income,Bank Transfer
2022-02-14,Residential rent payment - February 2022,Rent,1068.92,Expense,Bank Transfer
2022-02-17,Investment dividend income - February 2022,Investment,1340.94,Income,E-Wallet
2022-02-17,Payroll wage received - February 2022,Salary,3687.09,Income,Debit Card
2022-02-17,Refund income received - February 2022,Other Income,1168.47,Income,Bank Transfer
2022-02-17,Restaurant meal payment - February 2022,Food & Drink,313.89,Expense,Debit Card
2022-02-18,Portfolio interest income - February 2022,Investment,1533.18,Income,E-Wallet
2022-02-21,Lunch and dining expense - February 2022,Food & Drink,361.30,Expense,Debit Card
2022-02-22,Monthly salary deposit - February 2022,Salary,3840.24,Income,Bank Transfer
2022-02-22,Retail shopping purchase - February 2022,Shopping,542.31,Expense,Credit Card
2022-02-25,Refund income received - February 2022,Other Income,1433.83,Income,E-Wallet
2022-02-27,Investment dividend income - February 2022,Investment,1746.15,Income,Debit Card
2022-03-01,Payroll wage received - March 2022,Salary,3965.62,Income,Bank Transfer
2022-03-02,Refund income received - March 2022,Other Income,1576.98,Income,Bank Transfer
2022-03-04,Investment dividend income - March 2022,Investment,1895.80,Income,E-Wallet
2022-03-05,Family allowance transfer - March 2022,Allowance,1438.74,Income,Debit Card
2022-03-07,Lunch and dining expense - March 2022,Food & Drink,586.81,Expense,Debit Card
2022-03-07,Movie and streaming subscription - March 2022,Entertainment,691.41,Expense,E-Wallet
2022-03-12,Retail shopping purchase - March 2022,Shopping,820.67,Expense,Credit Card
2022-03-14,Residential rent payment - March 2022,Rent,1394.59,Expense,Bank Transfer
2022-03-17,Investment dividend income - March 2022,Investment,2173.22,Income,Bank Transfer
2022-02-30,Game and entertainment purchase - recorded period,Entertainment,823.47,Expense,E-Wallet
2022-03-18,Salary income received - March 2022,Salary,4257.66,Income,E-Wallet
2022-03-18,Hotel and flight booking - March 2022,Travel,1746.70,Expense,Credit Card
2022-03-18,Travel booking payment - March 2022,Travel,1791.14,Expense,Credit Card
2022-03-20,Lunch and dining expense - March 2022,Food & Drink,812.31,Expense,Debit Card
2022-03-20,Electricity and water bill - March 2022,Utilities,238.51,Expense,Bank Transfer
2022-03-22,Travel booking payment - March 2022,Travel,746.10,Expense,Credit Card
2022-03-23,Trip and accommodation expense - March 2022,Travel,790.54,Expense,Credit Card
2022-03-23,Electricity and water bill - March 2022,Utilities,286.29,Expense,banktransfer
2022-03-24,Hospital or pharmacy expense - March 2022,Healthcare,388.25,Expense,Debit Card
2022-03-25,Salary income received - March 2022,Salary,3771.17,Income,Debit Card
2022-03-26,Movie and streaming subscription - March 2022,Entertainment,369.56,Expense,E-Wallet
2022-03-27,Monthly housing rent - March 2022,Rent,1194.59,Expense,Bank Transfer
2022-03-28,Daily transportation expense - March 2022,Transportation,244.09,Expense,Cash
2022-03-28,Restaurant meal payment - March 2022,Food & Drink,433.05,Expense,Debit Card
2022-03-28,Game and entertainment purchase - March 2022,Entertainment,501.62,Expense,E-Wallet
2022-03-28,Refund income received - March 2022,Other Income,1516.42,Income,Bank Transfer
2022-03-29,Movie and streaming subscription - March 2022,Entertainment,560.14,Expense,E-Wallet
2022-03-29,Payroll wage received - March 2022,Salary,4007.66,Income,Debit Card
2022-03-31,Grocery and household staples - March 2022,Groceries,715.74,Expense,Debit Card
2022-03-31,Freelance project payment - March 2022,Freelance,2127.63,Income,Bank Transfer
2022-03-31,Retail shopping purchase - March 2022,Shopping,792.20,Expense,Credit Card
2022-04-01,Investment return received - April 2022,Investment,2067.32,Income,Debit Card
2022-04-01,Freelance project payment - April 2022,Freelance,2272.07,Income,Bank Transfer
2022-04-01,Cafe and coffee purchase - April 2022,Food & Drink,682.26,Expense,Debit Card
2022-04-01,Refund income received - April 2022,Other Income,1904.00,Income,E-Wallet
2022-04-02,Electricity and water bill - April 2022,Utilities,597.49,Expense,Bank Transfer
2022-04-02,Retail shopping purchase - April 2022,Shopping,982.78,Expense,Credit Card
2022-04-03,Salary income received - April 2022,Salary,4313.96,Income,Bank Transfer
2022-04-03,Bus and taxi fare - April 2022,Transportation,515.27,Expense,Cash
2022-04-04,Internet utility payment - April 2022,Utilities,230.76,Expense,Bank Transfer
2022-04-05,Monthly utilities bill - April 2022,Utilities,246.69,Expense,Bank Transfer
2022-04-08,Electricity and water bill - April 2022,Utilities,262.61,Expense,Bank Transfer
2022-04-09,Cafe and coffee purchase - April 2022,Food & Drink,279.30,Expense,Debit Card
2022-04-09,Salary income received - April 2022,Salary,3744.14,Income,Debit Card
2022-04-10,Bus and taxi fare - April 2022,Transportation,188.57,Expense,Cash
2022-04-10,Hospital or pharmacy expense - April 2022,Healthcare,454.31,Expense,Debit Card
2022-04-16,Investment return received - April 2022,Investment,1598.80,Income,E-Wallet
2022-04-18,Clothing and household shopping - April 2022,Shopping,528.87,Expense,Credit Card
2022-04-18,Cafe and coffee purchase - April 2022,Food & Drink,421.52,Expense,Debit Card
2022-04-21,Investment return received - April 2022,Investment,1748.45,Income,Bank Transfer
2022-04-22,Restaurant meal payment - April 2022,Food & Drink,481.10,Expense,Debit Card
2022-04-22,Family allowance transfer - April 2022,Allowance,1356.76,Income,Debit Card
2022-04-24,Lunch and dining expense - April 2022,Food & Drink,528.51,Expense,Debit Card
2022-04-24,Movie and streaming subscription - April 2022,Entertainment,619.45,Expense,E-Wallet
2022-04-29,Hospital or pharmacy expense - April 2022,Healthcare,764.38,Expense,Debit Card
2022-04-30,Daily transportation expense - April 2022,Transportation,371.93,Expense,Cash
2022-05-02,Movie and streaming subscription - May 2022,Entertainment,722.25,Expense,E-Wallet
2022-05-02,Internet utility payment - May 2022,Utilities,541.96,Expense,Bank Transfer
2022-05-03,Salary income received - May 2022,Salary,4189.34,Income,E-Wallet
2022-05-05,Clothing and household shopping - May 2022,Shopping,910.03,Expense,Credit Card
